City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Ukiah,US,76.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
221,Marsh Harbour,BS,75.51,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
222,The Valley,AI,78.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
223,Trincomalee,LK,79.72,overcast clouds,8.5711,81.2335,Welcombe Hotel
225,San Mateo Ixtatan,GT,62.15,overcast clouds,15.8319,-91.4781,HOTEL MAGDALENA
230,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
233,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
236,Eirunepe,BR,74.86,overcast clouds,-6.6603,-69.8736,Atrás de você
238,Pacific Grove,US,80.8,clear sky,36.6177,-121.9166,Lovers Point Inn
239,Butaritari,KI,81.77,broken clouds,3.0707,172.7902,Isles Sunset Lodge
242,Najran,SA,56.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
245,Galveston,US,61.21,clear sky,29.3669,-94.9669,Crystal Suites
246,Shirgaon,IN,70.83,clear sky,19.7,72.7,"Samarth Krupa Farm, Palghar"
247,Ambilobe,MG,73.31,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
248,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
250,Prado,BR,79.05,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
251,Waipawa,NZ,54.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
252,Tarecuato,MX,70.05,broken clouds,19.85,-102.4833,La virgen de la cantera
253,Rawson,AR,89.74,clear sky,-43.3002,-65.1023,Hosteria Sampedro
254,Bushehr,IR,62.69,clear sky,28.9684,50.8385,Yas Hostel
256,Chachapoyas,PE,63.0,moderate rain,-6.2317,-77.869,Teresita
257,Miguel Alves,BR,88.52,scattered clouds,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
259,Coihaique,CL,81.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
263,Sao Filipe,CV,75.6,broken clouds,14.8961,-24.4956,Hotel Xaguate
264,Gurupi,BR,77.61,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
265,Goba,ET,52.27,broken clouds,7.0167,39.9833,Tsehay Bezabeh Metasebya Mengita Bet
266,Charters Towers,AU,68.85,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
267,Namatanai,PG,78.69,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
270,Lubango,AO,59.29,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
271,Florianopolis,BR,80.69,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
