City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Kaitangata,NZ,-46.2817,169.8464,50.0,86,16,2.86,few clouds
121,Cap-Aux-Meules,CA,47.3821,-61.8597,15.85,73,75,16.11,broken clouds
122,Sterling,US,39.0062,-77.4286,35.69,75,100,11.99,snow
123,Salamanca,ES,40.8333,-6.0,43.99,90,100,18.01,overcast clouds
124,Thompson,CA,55.7435,-97.8558,-5.64,71,100,5.75,overcast clouds
125,Tocopilla,CL,-22.092,-70.1979,73.36,66,90,8.7,overcast clouds
126,Marzuq,YE,14.4,46.4667,59.99,44,2,3.62,clear sky
127,Porto Novo,BJ,6.4965,2.6036,84.02,74,9,9.26,clear sky
128,Tan An,VN,10.5333,106.4167,78.82,80,16,7.65,few clouds
129,Meadow Lake,US,34.8014,-106.5436,57.97,22,0,5.82,clear sky
130,Zile,TR,40.3031,35.8864,33.12,98,100,3.4,overcast clouds
131,Whithorn,JM,18.2604,-78.0378,81.66,51,29,3.71,scattered clouds
132,Nome,US,64.5011,-165.4064,-12.84,76,0,0.0,clear sky
133,Terrace Bay,CA,48.7834,-87.1,6.42,75,25,4.43,scattered clouds
134,Bodden Town,KY,19.2833,-81.25,84.99,69,75,5.01,broken clouds
135,Samarai,PG,-10.6167,150.6667,80.15,75,32,5.86,scattered clouds
136,Kudahuvadhoo,MV,2.6708,72.8944,81.55,78,100,10.83,overcast clouds
137,Cherskiy,RU,68.75,161.3,-21.01,97,100,7.94,overcast clouds
138,Timra,SE,62.487,17.3257,31.68,100,12,2.3,few clouds
139,Barrow,US,71.2906,-156.7887,-29.18,100,0,8.05,clear sky
140,Totness,SR,5.8833,-56.3167,80.28,74,61,11.68,broken clouds
141,Cayenne,GF,4.9333,-52.3333,82.44,85,75,16.11,broken clouds
142,San Cristobal,VE,7.7669,-72.225,80.78,36,97,4.59,overcast clouds
143,Tessalit,ML,20.1986,1.0114,68.41,16,19,11.39,few clouds
144,Baghdad,IQ,33.3406,44.4009,51.71,43,0,8.05,clear sky
145,Torbay,CA,47.6666,-52.7314,40.39,65,75,24.16,broken clouds
146,Evensk,RU,61.95,159.2333,-5.31,73,30,9.13,scattered clouds
147,Dalvik,IS,65.9702,-18.5286,-2.27,46,87,9.31,overcast clouds
148,Sola,VU,-13.8833,167.55,82.11,77,100,18.77,overcast clouds
149,Ust-Ishim,RU,57.6935,71.1665,0.9,99,99,3.15,overcast clouds
150,Shypyntsi,UA,48.3768,25.7466,29.66,68,0,4.9,clear sky
151,Dwarka,IN,22.2394,68.9678,70.09,60,0,9.75,clear sky
152,Porto Santo,PT,33.072,-16.3415,60.71,67,20,12.66,few clouds
153,Macas,EC,-2.3167,-78.1167,80.35,61,75,6.91,broken clouds
154,Mar Del Plata,AR,-38.0023,-57.5575,71.62,60,0,11.5,clear sky
155,Ribeira Grande,PT,38.5167,-28.7,57.6,67,40,8.05,scattered clouds
156,Sinazongwe,ZM,-17.2614,27.4618,76.71,73,32,5.73,scattered clouds
157,Aksu,CN,41.1231,80.2644,29.03,40,8,4.32,clear sky
158,Betera,ES,39.5833,-0.45,57.81,77,0,5.75,clear sky
159,Clovis,US,36.8252,-119.7029,83.46,31,40,3.44,scattered clouds
160,Matagami,CA,49.7502,-77.6328,-2.09,55,0,0.0,clear sky
161,Victoria,HK,22.2855,114.1577,61.25,86,100,8.01,overcast clouds
162,Hay River,CA,60.8156,-115.7999,-11.22,70,75,2.3,broken clouds
163,Aquiraz,BR,-3.9014,-38.3911,84.29,75,19,9.71,few clouds
164,Tigil,RU,57.8,158.6667,-10.34,98,100,3.11,overcast clouds
165,Willmar,US,45.1219,-95.0433,6.75,66,75,11.5,broken clouds
166,Ostrovnoy,RU,68.0531,39.5131,15.66,66,100,17.31,overcast clouds
167,Samarinda,ID,-0.5,117.15,72.27,96,100,0.43,overcast clouds
168,Saurimo,AO,-9.6608,20.3916,65.25,96,100,3.85,overcast clouds
169,Nyimba,ZM,-14.5566,30.8149,67.91,96,100,2.82,light rain
170,Amarante Do Maranhao,BR,-5.5667,-46.7422,75.56,93,99,2.66,moderate rain
171,Clarksburg,US,39.2807,-80.3445,31.89,60,100,8.05,overcast clouds
172,Amapa,BR,1.0,-52.0,79.14,93,100,3.51,heavy intensity rain
173,Kodinsk,RU,58.6881,99.1844,-20.25,100,60,2.91,broken clouds
174,Henties Bay,NA,-22.116,14.2845,73.85,84,36,5.61,moderate rain
175,Katobu,ID,-4.9408,122.5276,73.78,95,83,3.96,broken clouds
176,Bria,CF,6.5423,21.9863,79.47,21,16,3.29,few clouds
177,Asau,RO,46.4333,26.4,29.95,84,100,3.71,overcast clouds
178,Tabou,CI,4.423,-7.3528,78.48,84,47,7.58,scattered clouds
179,Isangel,VU,-19.55,169.2667,80.71,94,40,2.3,volcanic ash
180,Georgetown,MY,5.4112,100.3354,79.9,90,40,3.44,scattered clouds
